name,ticker,location,founded_status,segments,data_segments,data_maturity,stage_tags,headline,funding_line,key_facts,detail_sections_json,analyst_note,tableMaturityLabel,keyStagesAbbrev,currentVolumeNumber,currentVolumeUnit,currentVolumeNote,projectedVolumeNumber,projectedVolumeUnit,projectedVolumeNote,targetYear,currentVolumeSort,projectedVolumeSort,maturityColor
MP Materials Corp.,NYSE: MP,"Las Vegas, NV / Fort Worth, TX",Founded 2017 · Public,Upstream; Midstream; Downstream,upstream midstream downstream,commercial commissioning,Mining / Extraction; Beneficiation; Hydrometallurgy; Separation; REE Oxides; Reduction; Re-metal; Alloy & Powder; Magnet Manufacture,"Only active rare earth mine in the U.S. (Mountain Pass, CA). Commercial NdFeB sintered magnets first shipped from Fort Worth, TX in December 2025. Broke ground on a 10,000 MT/yr second magnet factory in Northlake, TX; commissioning slated to begin 2028.","$400M DoD preferred equity · ~$2B cash on hand · Customers: GM, Apple, DoD","Headquarters: Las Vegas, NV (corporate); Mountain Pass, CA (mine); Fort Worth, TX (magnetics) | Founded: 2017 (acquired Mountain Pass from Molycorp bankruptcy) | CEO: James H. Litinsky — Founder, Chairman & CEO | Q1 2026 Revenue: $90.65M from operations; $132.9M total including PPA income (up 28% QoQ) | NdPr Production: Record 917 MT NdPr oxide in Q1 2026 (up 63% YoY); 50,692 MT total REO in 2025 | Magnet Capacity: ~1,000 MT/yr at Independence (Fort Worth); 10X Northlake facility (10,000 MT/yr) broke ground 2026, commissioning slated to begin 2028","[{""heading"": ""Key Government Relationships"", ""items"": [""$400M DoD preferred equity investment (July 2025) \u2014 largest single US government equity stake in a rare earth company"", ""Decade-long NdPr price floor agreement with the DoD"", ""Defense Production Act (DPA) Title III support"", ""DFARS 252.225-7052 compliant \u2014 domestic feedstock from Mountain Pass""]}, {""heading"": ""Key Commercial Agreements"", ""items"": [""General Motors \u2014 long-term NdFeB magnet supply for EV traction motors"", ""Apple \u2014 $500M partnership for magnets from 100% recycled rare earth feedstock; shipments begin 2027"", ""eVAC Magnetics (Sumter, SC) \u2014 NdPr feedstock supply relationship""]}]",MP is the most vertically integrated and commercially advanced rare earth-to-magnet company in the U.S. Its Mountain Pass mine is a structural moat — no competitor can replicate a domestic REE mine in the near term. Primary risk: execution on the 10X Northlake scale-up.,Commercial / Commissioning,Mining; Separation; RE Oxides; Re-metal; Magnet Mfr,"~1,000",MT/yr NdFeB magnets (Fort Worth),917 MT NdPr oxide Q1 2026 (record),"~11,000",MT/yr magnets (Fort Worth + Northlake),"10,000 MT/yr Northlake plant broke ground 2026; commissioning slated to begin 2028",2028+,1000,11000,#34d399
"USA Rare Earth, Inc.",NASDAQ: USAR,"NY / Stillwater, OK / Hudspeth, TX / UK",Founded 2019 · Public,Upstream; Midstream; Downstream,upstream midstream downstream,commercial commissioning development,"Mining (Round Top TX); Hydrometallurgy (demo); Separation (LCM, UK); Alloy & Powder (LCM); Magnet Manufacture","Stillwater, OK magnet plant commenced Phase 1a commercial production March 2026 (~600 MT/yr). Acquired UK-based alloy producer LCM in late 2025. Full buildout revised to 10,000 MT/yr split across Stillwater (3,600 MT/yr) and a newly selected Cherokee County/Blacksburg, SC site (6,400 MT/yr, announced June 2, 2026).",~$1.75B cash · $1.6B DOC Title 17 loan pending · Serra Verde acq. ~$2.8B,"CEO: Pini Althaus — Founder & CEO | Magnet Capacity: ~600 MT/yr Phase 1a (Stillwater); full buildout now targeted at 10,000 MT/yr combined — 3,600 MT/yr at Stillwater + 6,400 MT/yr at a newly selected Cherokee County/Blacksburg, SC facility (announced June 2, 2026) | LCM (UK): Less Common Metals, Birkenhead UK — commercially producing NdFeB strip-cast alloy; acquired late 2025 | Serra Verde: Brazil heavy REE mine — only scaled producer of all 4 magnetic REEs (Nd, Pr, Dy, Tb) outside Asia; acquisition close targeted Q3 2026 | Round Top: Hudspeth County, TX — large deposit of heavy REEs (Dy, Tb, Ho) plus Li, Ga, Hf; development stage; drill program ongoing | Government: DOC Title 17 loan ~$1.6B (final documentation); White House-backed Serra Verde acquisition; DFARS-targeted production","[{""heading"": ""Supply Chain Partnerships"", ""items"": [""Arnold Magnetic Technologies \u2014 mutual supply & distribution agreement (March 2026) for NdFeB and SmCo products"", ""Solvay \u2014 rare earth materials sourcing agreement (via LCM)"", ""Serra Verde Group (Brazil, pending acquisition) \u2014 all-4-magnetic-REE feedstock""]}]","USAR's mine-to-magnet strategy is the most comprehensive of any US-listed company. The Serra Verde acquisition is the defining bet: if it closes, USAR becomes the only Western company with commercial-scale production of all four magnetic rare earths. Execution risk at Stillwater and Serra Verde close risk are the primary near-term variables.",Commercial / Commissioning,"Separation (LCM, UK); Alloy & Powder; Magnet Mfr; Mining (dev.)",~600,MT/yr NdFeB magnets (Phase 1a),"Stillwater, OK — commercial since March 2026","10,000",MT/yr magnets (Stillwater + Blacksburg SC combined),"3,600 MT/yr Stillwater + 6,400 MT/yr new Cherokee Co./Blacksburg, SC site (selected June 2, 2026)",2028+,600,10000,#34d399
eVAC Magnetics LLC,Private / VAC (DE),"Sumter, South Carolina",Opened 2025 · US subsidiary of Vacuumschmelze (Germany),Downstream,downstream,commissioning,Magnet Manufacture (NdFeB),"First NdFeB magnets for commercial sale in the U.S. in the 21st century shipped December 2025. Targeting 2,000 MT/yr by Q1 2026, scaling to 12,000 MT/yr by 2029. Feedstock from MP Materials (domestic) and Pensana/Angola (development).",$500M+ total investment · $111.9M QAEP tax credit · DPA Title III grant,"Parent Company: Vacuumschmelze GmbH & Co. KG (VAC), Hanau, Germany — 100+ year operating history in advanced magnetic materials | Executive Chairman: Troy Thacker (US operations) | Employees: ~300 in Sumter County, SC | Applications: Automotive EV motors, defense (radar/sonar), industrial automation, renewable energy | DFARS Positioning: US-manufactured product with qualifying feedstock; positioned for DFARS 252.225-7052 compliance (DoD deadline Jan 1, 2027) | Tax Credit: $111.9M Qualifying Advanced Energy Project (QAEP) Tax Credit (IRS Section 48C) — largest awarded to a US NdFeB magnet maker | Pending Ownership Change: Parent Vacuumschmelze's acquisition by Energy Fuels (NYSE: UUUU) was announced June 23, 2026; expected to close early 2027. Shifts ultimate strategic/capital authority from PE owner Ara Partners to a publicly traded US parent; VAC expected to retain its Hanau, Germany operational HQ.","[{""heading"": ""Supply Chain Partnerships"", ""items"": [""MP Materials (Mountain Pass, CA) \u2014 NdPr feedstock supply"", ""Pensana (UK/Angola) \u2014 MOU for MREC from Longonjo mine, Angola; 5-year offtake targeting 2,000 MT/yr scaling to 12,000 MT/yr by 2029; US EXIM Bank LOI up to $160M for Longonjo"", ""Ucore Rare Metals \u2014 strategic alliance for potential US-separated REO supply (Alaska feedstock)""]}]","eVAC brings world-class German NdFeB manufacturing technology to a US greenfield site. Its December 2025 first shipment was a genuine industry milestone. Primary feedstock risk: Pensana's Longonjo mine is not yet operational; full supply diversification beyond MP Materials is 2027+ at earliest. Watch the pending Energy Fuels acquisition of parent VAC (announced June 23, 2026) — it would create a combined US HREE-separation-to-magnet entity spanning Energy Fuels' White Mesa Mill and eVAC's Sumter, SC plant.",Commissioning,Magnet Mfr (NdFeB),"2,000",MT/yr NdFeB (target Q1 2026),First US NdFeB sale Dec 2025; ramp ongoing,"12,000",MT/yr NdFeB,"$500M+ total investment; $111.9M QAEP tax credit; parent VAC subject to pending acquisition by Energy Fuels (announced Jun 23, 2026; close early 2027)",2029,2000,12000,#60a5fa
"Noveon Magnetics, Inc.",Private,"San Marcos, Texas","Founded ~2012 (as Urban Mining Co.) · 145,000 sq ft facility",Downstream,downstream,commercial,End-of-Life Recycling; Alloy & Powder (M2M®); Magnet Manufacture; Assembly Manufacture,"First U.S. NdFeB sintered magnet manufacturer operating at commercial scale using primarily recycled feedstock (M2M® process). EcoFlux™ magnets in production since 2023. Active supply contracts with GM, ABB, and Nidec.","$293M+ raised total · $215M Series C (Jan 2026, led by OneIM)","CEO & Co-Founder: Scott Dunn | Technology: GBE® (Grain Boundary Engineering) + M2M® (Magnet-to-Magnet recycling); bypasses mining, separation, reduction stages | Current Capacity: Ramping toward ~2,000 MT/yr; San Marcos facility designed for up to 10,000 MT/yr long-term | Korea JV: MOU with Kangwon Energy for 2,000 MT/yr greenfield factory in South Korea; production target 2027 | DFARS Status: DFARS-compliant; DPA Title III award recipient; supply to F-35, missiles, Predator drones, nuclear submarines reported | Recycling claim: >95% of materials can be derived from recycled sources; CO₂ reduction of ~11 tons/ton vs. conventional route","[{""heading"": ""Commercial Contracts"", ""items"": [""General Motors \u2014 multi-year supply agreement; deliveries began July 2025"", ""ABB \u2014 100% of magnet parts for ABB's North American motor production facility by end of 2026; deliveries began Aug 2025"", ""Nidec Motor Corp. \u2014 5-year binding offtake, >1,000 total tons; applications incl. defense; deliveries began 2025"", ""Lynas Rare Earths \u2014 MOU for strategic supply chain partnership"", ""Solvay \u2014 supply agreement for REE oxide inputs (grain boundary enhancement)""]}]",Noveon's recycling-based model short-circuits the geopolitically sensitive upstream supply chain. It has the most advanced commercial customer roster of any U.S. magnet maker. Key risk: recycled feedstock availability and scale — the Solvay and Lynas partnerships indicate supplementation with virgin REO inputs.,Commercial,EOL Recycling; Alloy (M2M®); Magnet Mfr; Assembly,"~2,000",MT/yr NdFeB (ramping),Recycled feedstock via GBE® + M2M® process,"10,000",MT/yr NdFeB,San Marcos facility designed capacity; $215M Series C Jan 2026,2028+,2000,10000,#34d399
Energy Fuels Inc.,NYSE: UUUU,"Lakewood, CO / White Mesa Mill, UT",Founded 1987 (REE pivot 2021) · Public,Midstream,midstream,commercial pilot,"Separation (LREE — NdPr); Separation (HREE — Dy, Tb) → Commercial; REE Oxides (light); REE Oxides (Dy, Tb) → Commercial; Reduction / Re-metal (via ASM acq.)","White Mesa Mill (Utah) is the only U.S. facility commercially separating rare earth oxides, including the first-ever U.S. production of 99.9% purity dysprosium oxide (August 2025) and terbium oxide (March 2026). Commercial-scale Dy/Tb production targeted Q4 2026.",>$927M working capital · DoD contract support · ASM acquisition pending,"CEO: Ross Bhappu (since April 2026; former CEO Mark Chalmers retired) | White Mesa Mill: San Juan County, UT — only fully licensed conventional uranium mill in the U.S.; 4,000-acre site; REE separation via monazite co-processing since 2022 | Phase 1 Targets: 850–1,000 MT/yr NdPr oxide; 35 MT Dy/yr; 12 MT Tb/yr (from ~10,000 MT monazite/yr); targeting 2027 | Feedstock: Monazite from Chemours' Georgia mineral sands operations (domestic); evaluating additional sources | ASM Acquisition: Australian Strategic Materials (ASM) — Korean Metals Plant produces RE metals and alloys; acquisition close targeted June 2026 (FIRB approval pending) | Dy/Tb Milestone: Dy oxide qualified for permanent magnet use by major South Korean manufacturer (December 2025) | Pending eVAC/VAC Acquisition: Announced June 23, 2026: Energy Fuels agreed to acquire Vacuumschmelze (VAC), parent of eVAC Magnetics (Sumter, SC downstream magnet plant), from Ara Partners; expected close early 2027. Would combine Energy Fuels' HREE separation (White Mesa) with eVAC's NdFeB magnet manufacturing under one roof — Energy Fuels' first move downstream into finished magnets.",[],"Energy Fuels is uniquely positioned as the only U.S. commercial HREE oxide producer. Its ""repurposed uranium mill"" model gave it a multi-year head start. If ASM acquisition closes, it would be the first entity capable of oxide-to-metal in a combined US-Korea chain. Heavy REE Dy and Tb are the most geopolitically sensitive elements in the sector — China produces >90% of global supply. The pending VAC/eVAC acquisition, if it closes as planned in early 2027, would be the sector's first vertically integrated midstream-to-downstream combination.",Commercial / Pilot→Com,Separation (LREE); Separation (HREE); RE Oxides; Reduction (via ASM),~500,MT/yr NdPr oxide (est. current),"Only US commercial HREE oxide producer (Dy, Tb)","850–1,000",MT/yr NdPr + 35 MT Dy + 12 MT Tb,"Phase 1 from ~10,000 MT/yr monazite input; pending acquisition of VAC/eVAC (announced Jun 23, 2026) would add 12,000 MT/yr downstream magnet capacity",2027,500,1000,#34d399
"Vulcan Elements, Inc.",Private,"Research Triangle Park, NC (HQ) / Benson, NC (facility)",Founded ~2023 · Pre-production,Downstream,downstream,development,Magnet Manufacture (planned),"Planning a $918M NdFeB sintered magnet factory in Benson, NC (Johnston County) targeting 10,000 MT/yr and 1,000 jobs. Supplied by ReElement Technologies' domestically separated rare earth oxides from recycled feedstock. Groundbreaking expected 2026.",$620M DoD OSC loan (on track) · $50M CHIPS · $550M private capital,"Facility Specs: 1M sq ft; 10,000 MT/yr NdFeB; ~1,000 jobs; ~$918M total investment; ~30 miles from Fort Bragg/Liberty Army base | Feedstock Partner: ReElement Technologies (Indiana) — $1.4B supply agreement for domestically separated REO from recycled end-of-life magnets | Government Support: $620M DoD OSC loan (largest OSC loan ever made) — reportedly remains on track as of July 2026; $50M CHIPS Act; NC state and Johnston County incentives. (The OSC package's companion $80M loan to ReElement was dropped by ReElement in July 2026 — see ReElement card.) | Political Context: OSC loan reportedly facilitated by Peter Navarro; announced ~3 months after Trump Jr.'s reported personal investment; no legal action as of June 2026 | DFARS Target: Purpose-built domestic factory with domestic REE feedstock; intended for DFARS 252.225-7052 compliance | Timeline: Groundbreaking expected 2026; commercial production at scale likely 4–6 years minimum from financing announcement",[],"Vulcan is one of the highest-stakes bets in the sector — a 10,000 MT/yr factory would be transformative if built. But it is entirely pre-production, carries political controversy risk, and is structurally dependent on ReElement Technologies executing its own commercial ramp. The circular supply chain design (recycled feedstock via ReElement) is strategically appealing but also a feedstock constraint.",Development,Magnet Mfr (planned),0,MT/yr (pre-production),"Groundbreaking expected 2026; 1M sq ft Benson, NC facility","10,000",MT/yr NdFeB,"$620M DoD OSC loan (reportedly on track, July 2026); $1.4B ReElement supply agreement",2030+4–6 yrs post-finance,0,10000,#fb923c
ReElement Technologies Corp.,Parent: NASDAQ: AREC,"Noblesville, IN (ops) / Marion, IN (expansion)",Est. ~2021 · Private (AREC ~19% stake),Midstream,midstream,pilot,Separation → Commercial; REE Oxides → Commercial,"Proprietary chromatographic separation of rare earth oxides to 99.5–99.999% purity — described as the only company economically separating heavy REEs (Dy, Tb) in the U.S. via this method. Anchor $1.4B supply agreement with Vulcan Elements. Marion, IN expansion facility underway.",$200M Transition Equity · Mitsubishi Materials stake · $1.4B Vulcan supply agreement,"Technology: Chromatographic separation — resin-based, no kerosene, lower footprint than conventional solvent extraction; applicable to diverse low-grade feedstocks | Products: Nd, Pr, Dy, Tb, Sm, Gd, Y, Ga, Ge and other separated elements at 99.5–99.999% purity | Marion Facility: 400,000 sq ft expansion; funded by $200M Transition Equity Partners facility (closed Jan 5, 2026) + an undisclosed Mitsubishi Materials equity stake (reported June 2026); buildout targeted early-to-mid 2026 | Ownership: Transition Equity Partners (strategic equity ~$200M); Mitsubishi Materials Corp. (undisclosed stake); American Resources Corp (AREC, ~19% stake, one later source ~17%) | Feedstock: Electrified Materials / AREC (e-waste powder); Electronic Recyclers International (ERI); mine concentrates; diverse secondary streams | Heavy REE claim: Only company economically separating heavy REEs (Dy, Tb) in the U.S. using chromatographic method | DoD Loan — Correction: A conditional $80M DoD Office of Strategic Capital loan was proposed for ReElement in Nov. 2025 alongside Vulcan's $620M loan. It was never disbursed; Reuters reported July 10, 2026 that ReElement ended its pursuit of it, preferring equity financing (Transition Equity, Mitsubishi Materials). Vulcan's $620M loan reportedly remains on track.",[],"ReElement is structurally linked to Vulcan Elements — its fate depends heavily on Vulcan's build-out succeeding. The technology has institutional credibility ($200M Transition Equity + Mitsubishi Materials stake), and ReElement's CEO has stated a preference for equity over government debt following the dropped DoD OSC loan. Key risk: chromatographic separation at commodity-scale (400,000 sq ft) is unproven in the field. The recycled-feedstock model is a compounding long-term advantage as EV/wind scrap volumes grow post-2030.",Pilot → Commercial,Separation (chrom.); RE Oxides (99.5–99.999%),Undisclosed,,Noblesville pilot; first commercial revenues targeted 2026,Undisclosed,,"Marion, IN 400,000 sq ft expansion; $1.4B Vulcan supply agreement; $80M DoD OSC loan dropped by ReElement July 2026 (never disbursed) in favor of equity financing",2026+,0,0,#fbbf24
Arnold Magnetic Technologies,Subsidiary of NYSE: CODI,"Rochester, New York (US primary)",Founded 1895 · Private subsidiary (Compass Diversified),Downstream,downstream,commercial,Magnet Manufacture (NdFeB + SmCo); Assembly Manufacture,"One of the oldest magnet manufacturers in the world (130+ years). Produces NdFeB and SmCo permanent magnets and engineered assemblies for aerospace, defense, medical, and semiconductor markets. March 2026: mutual supply agreement with USA Rare Earth / LCM for ex-China feedstock.",Parent: Compass Diversified (NYSE: CODI) · No direct gov't grants identified · DFARS transition underway,"Founded: 1895 as Arnold Engineering Company, Rochester, NY — 130+ year operating history through every major magnet technology generation | Parent: Compass Diversified Holdings (NYSE: CODI) — niche industrial conglomerate; Arnold financials consolidated within CODI | Products: Sintered NdFeB (multiple grades); sintered SmCo (incl. high-temp grades); flexible magnets; Alnico; ceramic; custom engineered assemblies | International Facilities: UK, Switzerland, Thailand, China — breadth provides flexibility but creates DFARS segregation complexity | DFARS Transition: USA Rare Earth / LCM agreement provides ex-China alloy feedstock to supply Rochester lines; targeting DFARS compliance ahead of Jan 1, 2027 deadline | Certifications: ITAR-registered; AS9100 quality certified","[{""heading"": ""March 2026 Supply Partnership \u2014 USA Rare Earth / LCM"", ""items"": [""Arnold distributes USAR's NdFeB materials and finished magnets; USAR distributes Arnold's SmCo and NdFeB products"", ""LCM (UK) signed separate alloy supply agreement with Arnold \u2014 provides ex-China rare earth alloy for Rochester production lines"", ""Partnership creates complementary portfolio: Arnold's SmCo expertise + USAR's NdFeB magnet output""]}]","Arnold is the most commercially mature US-based NdFeB/SmCo maker in the peer group. Primary risk: DFARS transition — if LCM (UK) alloy doesn't qualify under DFARS ""covered country"" definitions, defense contracts face disruption. Its application engineering depth and OEM relationships are assets no new entrant can replicate quickly.",Commercial,Magnet Mfr (NdFeB); Magnet Mfr (SmCo); Assembly,Undisclosed,,Commercial scale; 130-year history; DFARS transition underway,Undisclosed,,USAR/LCM ex-China alloy supply agreement Mar 2026,2027DFARS deadline,999,999,#34d399
Electron Energy Corporation,Private (Tinicum PE),"Landisville, Pennsylvania",Founded 1970 · Majority owned by Magnetic Holdings / Tinicum PE (2024),Midstream; Downstream,midstream downstream,commercial commissioning,Alloy & Powder Manufacture; Magnet Manufacture — SmCo; Magnet Manufacture — NdFeB,Only remaining U.S. producer of samarium-cobalt (SmCo) permanent magnets and the only DFARS-compliant domestic SmCo supplier. Fully integrated from alloy to finished magnets. Doubled SmCo capacity in 2025. Adding NdFeB DFARS compliance targeting mid-2026.,Tinicum PE majority investment 2024 · Capacity doubled 2025 · Sole US DFARS-compliant SmCo source,"Founder: Dr. Marlin Walmer (1970); retained minority stake after Magnetic Holdings acquisition | PE Owner: Magnetic Holdings LLC / Tinicum Inc. (NY PE, >$2.4B committed capital) — majority stake acquired 2024; also owns Dexter Magnetic Technologies and Magnetic Component Engineering | SmCo Strategic Role: Only US SmCo producer; without EEC there is NO domestically compliant SmCo supply for DoD procurement — a singular national defense asset | SmCo Advantages: Higher operating temperature (to 350°C vs. 80–180°C for NdFeB); better demagnetization resistance; superior corrosion resistance — irreplaceable in aerospace, missiles, MRI, oil & gas | Certifications: ITAR-registered; AS9100D; ISO 9001:2015; DFARS 252.225-7052 (SmCo — current); NdFeB DFARS target mid-2026 | Workforce: Joined US Navy Talent Pipeline Program (Central PA Network) October 2025",[],"EEC's SmCo monopoly is both its greatest strength and greatest vulnerability. The 2024 Tinicum acquisition was structurally critical — it prevented potential closure and provided capital for 2025 capacity doubling. If EEC achieves NdFeB DFARS compliance by mid-2026, it would be the only US company dual-compliant in both magnet types before the Jan 2027 deadline.",Commercial / Commissioning,Alloy & Powder; Magnet Mfr (SmCo); Magnet Mfr (NdFeB),Undisclosed,,Only DFARS-compliant US SmCo producer; capacity doubled 2025,Undisclosed,,NdFeB DFARS compliance targeted mid-2026,2026NdFeB DFARS,998,998,#34d399
"Phoenix Tailings, Inc.","Private (BMW, Yamaha)","Burlington, MA (R&D) / Exeter, NH (production)",Founded ~2020 · Venture-backed,Midstream,midstream,pilot,Reduction / Re-metal,"Exeter, NH rare earth metallization facility opened October 2025 — one of the first standalone U.S. RE metal operations with zero reliance on Chinese inputs, equipment, or technology. Produces Nd, Pr, Dy, Tb metals at ~200 MT/yr; scalable to 1,000+ MT/yr. Backed by BMW and Yamaha Motor.","$76M Series B (incl. BMW, Yamaha Motor) · Government grant support · Zero Chinese inputs","CEO & Co-Founder: Nick Myers | Scientific Co-Founder: Prof. Antoine Allanore (MIT metallurgy) — emissions-free metallization process traces to his research | Technology: Emissions-free metallization — no hazardous byproducts or GHG at the reduction step; diverse feedstocks (mine concentrates, recycled NdFeB powder, coal ash, secondary sources) | Capacity: ~200 MT/yr currently; designed to scale to 1,000+ MT/yr — stated as sufficient to supply entire US defense industrial base's RE metal needs | Strategic Gap it Fills: Reduction/metallization step is performed almost entirely in China for global NdFeB supply chains; Phoenix addresses this specific vulnerability | Facility Opening: Opened October 23, 2025; originally planned July 2025 — delayed by equipment and permitting factors","[{""heading"": ""Supply Chain Position"", ""items"": [""Strategic RE metal supplier to Advanced Magnet Lab (AML) for DLA-contracted NdFeB magnet qualification"", ""Part of Phoenix Tailings \u2192 Momentum Technologies \u2192 AML triangle \u2014 an emerging China-free domestic supply chain"", ""BMW and Yamaha Motor investment = implied downstream automotive and industrial demand interest""]}]","Phoenix fills what may be the most overlooked vulnerability in the US supply chain — the oxide-to-metal step. Even with domestic mines and separators, metals production remained 100% China-dependent before Phoenix. The BMW/Yamaha investment is a strong validation signal. At 200 MT/yr it is currently small; the path to 1,000+ MT/yr requires additional capital and execution.",Pilot / Demo,Reduction / Re-metal,~200,"MT/yr RE metals (Nd, Pr, Dy, Tb)","Exeter, NH facility opened Oct 2025; zero Chinese inputs","1,000+",MT/yr RE metals,Stated as sufficient for entire US defense RE metals need,2026–27,200,1000,#fbbf24
