name,ticker,location,segments,maturity_label,key_stages,current_volume_number,current_volume_unit,current_volume_note,projected_volume_number,projected_volume_unit,projected_volume_note,target_year,data_segments,data_maturity,data_current_sort,data_projected_sort
MP Materials Corp.,NYSE: MP,"Las Vegas, NV / Fort Worth, TX",Upstream; Midstream; Downstream,Commercial / Commissioning,Mining; Separation; RE Oxides; Re-metal; Magnet Mfr,"~1,000",MT/yr NdFeB magnets (Fort Worth),917 MT NdPr oxide Q1 2026 (record),"~11,000",MT/yr magnets (Fort Worth + Northlake),"10,000 MT/yr Northlake plant broke ground 2026; commissioning slated to begin 2028",2028+,upstream midstream downstream,commercial commissioning,1000,11000
"USA Rare Earth, Inc.",NASDAQ: USAR,"NY / Stillwater, OK / Hudspeth, TX / UK",Upstream; Midstream; Downstream,Commercial / Commissioning,"Separation (LCM, UK); Alloy & Powder; Magnet Mfr; Mining (dev.)",~600,MT/yr NdFeB magnets (Phase 1a),"Stillwater, OK — commercial since March 2026","10,000",MT/yr magnets (Stillwater + Blacksburg SC combined),"3,600 MT/yr Stillwater + 6,400 MT/yr new Cherokee Co./Blacksburg, SC site (selected June 2, 2026)",2028+,upstream midstream downstream,commercial commissioning development,600,10000
eVAC Magnetics LLC,Private / VAC (DE),"Sumter, South Carolina",Downstream,Commissioning,Magnet Mfr (NdFeB),"2,000",MT/yr NdFeB (target Q1 2026),First US NdFeB sale Dec 2025; ramp ongoing,"12,000",MT/yr NdFeB,"$500M+ total investment; $111.9M QAEP tax credit; parent VAC subject to pending acquisition by Energy Fuels (announced Jun 23, 2026; close early 2027)",2029,downstream,commissioning,2000,12000
"Noveon Magnetics, Inc.",Private,"San Marcos, Texas",Downstream,Commercial,EOL Recycling; Alloy (M2M®); Magnet Mfr; Assembly,"~2,000",MT/yr NdFeB (ramping),Recycled feedstock via GBE® + M2M® process,"10,000",MT/yr NdFeB,San Marcos facility designed capacity; $215M Series C Jan 2026,2028+,downstream,commercial,2000,10000
Energy Fuels Inc.,NYSE: UUUU,"White Mesa Mill, Utah",Midstream,Commercial / Pilot→Com,Separation (LREE); Separation (HREE); RE Oxides; Reduction (via ASM),~500,MT/yr NdPr oxide (est. current),"Only US commercial HREE oxide producer (Dy, Tb)","850–1,000",MT/yr NdPr + 35 MT Dy + 12 MT Tb,"Phase 1 from ~10,000 MT/yr monazite input; pending acquisition of VAC/eVAC (announced Jun 23, 2026) would add 12,000 MT/yr downstream magnet capacity",2027,midstream,commercial pilot,500,1000
Arnold Magnetic Technologies,Sub. of NYSE: CODI,"Rochester, New York",Downstream,Commercial,Magnet Mfr (NdFeB); Magnet Mfr (SmCo); Assembly,Undisclosed,,Commercial scale; 130-year history; DFARS transition underway,Undisclosed,,USAR/LCM ex-China alloy supply agreement Mar 2026,2027DFARS deadline,downstream,commercial,999,999
Electron Energy Corporation,Private (Tinicum PE),"Landisville, Pennsylvania",Midstream; Downstream,Commercial / Commissioning,Alloy & Powder; Magnet Mfr (SmCo); Magnet Mfr (NdFeB),Undisclosed,,Only DFARS-compliant US SmCo producer; capacity doubled 2025,Undisclosed,,NdFeB DFARS compliance targeted mid-2026,2026NdFeB DFARS,midstream downstream,commercial commissioning,998,998
Lynas Rare Earths — US Ops,Parent: ASX: LYC,"Hondo, TX / Seadrift, TX",Midstream,Commissioning / Paused ⚠,Separation — LREE; Separation — HREE ⚠,0,MT/yr (pre-production),Hondo commissioning FY2026; Seadrift construction halted,"5,000",MT/yr NdPr (Hondo),"⚠ Seadrift (2,500–3,000 MT/yr HREE) still ""unlikely to proceed"" (Jul 2026); near-term DoD offtake instead covered by Mar 2026 ~$96M global-supply LOI",2026Hondo only,midstream,commissioning paused,0,5000
"Phoenix Tailings, Inc.","Private (BMW, Yamaha)","Burlington, MA / Exeter, NH",Midstream,Pilot / Demo,Reduction / Re-metal,~200,"MT/yr RE metals (Nd, Pr, Dy, Tb)","Exeter, NH facility opened Oct 2025; zero Chinese inputs","1,000+",MT/yr RE metals,Stated as sufficient for entire US defense RE metals need,2026–27,midstream,pilot,200,1000
ReElement Technologies Corp.,Parent: NASDAQ: AREC,"Noblesville, IN / Marion, IN",Midstream,Pilot → Commercial,Separation (chrom.); RE Oxides (99.5–99.999%),Undisclosed,,Noblesville pilot; first commercial revenues targeted 2026,Undisclosed,,"Marion, IN 400,000 sq ft expansion; $1.4B Vulcan supply agreement; $80M DoD OSC loan dropped by ReElement July 2026 (never disbursed) in favor of equity financing",2026+,midstream,pilot,0,0
"Momentum Technologies, Inc.","Private (TechMet, Tailwater)","Dallas / Carrollton, Texas",Midstream,Pilot → Commercial,Separation (MSX®); RE Oxides (99.9%+),Undisclosed,,Carrollton commercial-scale processing began Oct 2025,Undisclosed,,"+2 additional plants planned 2027 (one REE, one battery)",2026–27,midstream,pilot,0,0
American Resources / Electrified Materials,NASDAQ: AREC,"Fishers / Noblesville, Indiana",Upstream,Pilot,EOL Recycling (EMCO),Undisclosed,,RCRA-permitted May 2025; feeds ReElement for separation,Undisclosed,,Expanded pre-processing capacity Mar 2026; volumes not disclosed,2026+,upstream,pilot,0,0
"Advanced Magnet Lab, Inc. (AML)",Private (RMHC),"Melbourne, Florida",Downstream,Pilot,Magnet Mfr (PM-Wire™),Undisclosed,,$2M DLA contract May 2026; specialty geometry NdFeB for defense,Undisclosed,,Qualification phase; scale-up follows DLA contract completion,2027+,downstream,pilot,0,0
"Vulcan Elements, Inc.",Private,"Research Triangle Park / Benson, NC",Downstream,Development,Magnet Mfr (planned),0,MT/yr (pre-production),"Groundbreaking expected 2026; 1M sq ft Benson, NC facility","10,000",MT/yr NdFeB,"$620M DoD OSC loan (reportedly on track, July 2026); $1.4B ReElement supply agreement",2030+4–6 yrs post-finance,downstream,development,0,10000
"Niron Magnetics, Inc. ⚠️ RE-Free",Private (ARPA-E),"Minneapolis / Sartell, Minnesota",Downstream,Development,"Magnet Mfr (FeN, RE-free)",0,MT/yr (pre-production),Sartell groundbreaking Sept 2025; operations target early 2027,"1,500 → 10,000+",MT/yr (Phase 1 → Phase 2),"Second 10,000 MT/yr plant in site selection ($1.8B est.)",2027 / 2030+,downstream,development,0,1500
"REalloys, Inc.",NASDAQ: ALOY,"Texas / Euclid, OH / Saskatchewan, CA",Midstream; Downstream,Development,"Separation (planned); Alloy & Powder (planned); Magnet Mfr (Euclid, OH)",0,MT/yr (pre-production),JOGMEC MOU Oct 2025; first-ever US–Japan RE partnership,"10,000",MT/yr NdFeB + SmCo,Japanese technology transfer; production target 2027 (compressed),2027Timeline optimistic,midstream downstream,development,0,10000
"US Strategic Metals, LLC",Private,"Fredericktown, Missouri",Upstream; Midstream,Announced,EOL Recycling (planned); Separation (announced),0,MT/yr (MOU stage only),"No financing or timeline disclosed; 1,800-acre Madison mine site",Undisclosed,,"NdPr, Dy, Tb oxides from recycled feedstock via Ionic tech",TBD,upstream midstream,announced,0,0
